Assignment 8 - Question 1 Aggregation Report

facility_name	provider_name	years_experience	facility_mean_experience	facility_std_experience	facility_zscore_experience	facility_total_service_charge
Northside Urgent Care	Quinn Anderson	11	20.137014314928425	10.581438670904161	-0.863494520839829	297283.06
City General Hospital	Drew Martinez	19	19.5630081300813	10.702137018258142	-0.052607075495370026	295508.13
City General Hospital	Jordan Anderson	3	19.5630081300813	10.702137018258142	-1.5476355892121685	295508.13
Northside Urgent Care	Taylor Rodriguez	6	20.137014314928425	10.581438670904161	-1.3360200587658322	297283.06
Regional Medical Center	Drew Anderson	36	20.209205020920503	11.57593465333748	1.3641054007269142	316284.98
Northside Urgent Care	Cameron Smith	14	20.137014314928425	10.581438670904161	-0.5799791980842272	297283.06
Northside Urgent Care	Alex Garcia	11	20.137014314928425	10.581438670904161	-0.863494520839829	297283.06
City General Hospital	Riley Miller	23	19.5630081300813	10.702137018258142	0.3211500529338296	295508.13
Northside Urgent Care	Morgan Davis	6	20.137014314928425	10.581438670904161	-1.3360200587658322	297283.06
Surgical Specialty Center	Jordan Williams	2	20.778181818181817	11.35813247735185	-1.6532807532951008	349909.18
Cardiology Specialty Center	Taylor Davis	26	19.31972789115646	10.484611924077868	0.6371501546473382	276658.83
Oncology Treatment Center	Casey Smith	7	19.3811394891945	10.87238600488255	-1.138769308193657	334927.3
Northside Urgent Care	Jamie Garcia	18	20.137014314928425	10.581438670904161	-0.20195876774342464	297283.06
Regional Medical Center	Alex Jones	3	20.209205020920503	11.57593465333748	-1.4866363309988868	316284.98
Cardiology Specialty Center	Jamie Jones	33	19.31972789115646	10.484611924077868	1.3047952759631332	276658.83
Community Health Clinic	Morgan Davis	30	20.16078431372549	11.04401051893677	0.8909096626993934	334992.21
Emergency Medical Center	Quinn Martinez	34	19.66868686868687	11.023866696226115	1.300025982373252	310735.25
Oncology Treatment Center	Taylor Smith	35	19.3811394891945	10.87238600488255	1.4365623611773362	334927.3
Oncology Treatment Center	Riley Brown	10	19.3811394891945	10.87238600488255	-0.8628409150467649	334927.3
City General Hospital	Quinn Anderson	39	19.5630081300813	10.702137018258142	1.816178566650628	295508.13
Emergency Medical Center	Drew Smith	34	19.66868686868687	11.023866696226115	1.300025982373252	310735.25
Regional Medical Center	Riley Smith	30	20.209205020920503	11.57593465333748	0.8457887222313141	316284.98
City General Hospital	Riley Martinez	14	19.5630081300813	10.702137018258142	-0.5198034860318695	295508.13
Pediatric Care Center	Jordan Wilson	27	19.811676082862522	10.999242478915267	0.6535289981030022	361811.04
Cardiology Specialty Center	Taylor Anderson	33	19.31972789115646	10.484611924077868	1.3047952759631332	276658.83
Community Health Clinic	Avery Brown	19	20.16078431372549	11.04401051893677	-0.10510532489398977	334992.21
Cardiology Specialty Center	Sam Wilson	20	19.31972789115646	10.484611924077868	0.06488290780522805	276658.83
Emergency Medical Center	Jamie Rodriguez	19	19.66868686868687	11.023866696226115	-0.06065810546455409	310735.25
Regional Medical Center	Jamie Smith	6	20.209205020920503	11.57593465333748	-1.2274779917510867	316284.98
City General Hospital	Cameron Davis	22	19.5630081300813	10.702137018258142	0.22771077082652968	295508.13
Emergency Medical Center	Riley Johnson	34	19.66868686868687	11.023866696226115	1.300025982373252	310735.25
Pediatric Care Center	Alex Williams	6	19.811676082862522	10.999242478915267	-1.2556933906438086	361811.04
Primary Care Clinic	Riley Miller	17	20.102970297029703	11.077168491755957	-0.28012305665830123	323315.71
Northside Urgent Care	Sam Williams	30	20.137014314928425	10.581438670904161	0.9321025232789828	297283.06
Northside Urgent Care	Avery Wilson	33	20.137014314928425	10.581438670904161	1.2156178460345848	297283.06
Primary Care Clinic	Cameron Brown	24	20.102970297029703	11.077168491755957	0.35180738704756653	323315.71
Oncology Treatment Center	Drew Williams	27	19.3811394891945	10.87238600488255	0.7007533127856238	334927.3
Primary Care Clinic	Taylor Miller	16	20.102970297029703	11.077168491755957	-0.370398834330568	323315.71
Regional Medical Center	Riley Martinez	26	20.209205020920503	11.57593465333748	0.5002442699009139	316284.98
Surgical Specialty Center	Jordan Garcia	5	20.778181818181817	11.35813247735185	-1.3891528250479168	349909.18
City General Hospital	Drew Miller	18	19.5630081300813	10.702137018258142	-0.14604635760266993	295508.13
Cardiology Specialty Center	Taylor Davis	16	19.31972789115646	10.484611924077868	-0.316628590089512	276658.83
Community Health Clinic	Jamie Martinez	3	20.16078431372549	11.04401051893677	-1.5538543977570927	334992.21
Northside Urgent Care	Quinn Smith	15	20.137014314928425	10.581438670904161	-0.4854740904990265	297283.06
Community Health Clinic	Riley Davis	21	20.16078431372549	11.04401051893677	0.0759883092138981	334992.21
Emergency Medical Center	Riley Brown	10	19.66868686868687	11.023866696226115	-0.8770685581672377	310735.25
Surgical Specialty Center	Riley Williams	17	20.778181818181817	11.35813247735185	-0.3326411120591808	349909.18
City General Hospital	Casey Miller	28	19.5630081300813	10.702137018258142	0.7883464634703291	295508.13
Primary Care Clinic	Quinn Johnson	38	20.102970297029703	11.077168491755957	1.615668274459302	323315.71
